"Дата","Название","ИНН","Адрес","Сайт","Признаки, установленные Банком России","Деятельность прекращена","Дополнительно"
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД СОКОЛ""","3528235327","162603, Вологодская область, г. Череповец, ул. Безымянная, д. 2, оф. 3",,"Признаки нелегального кредитора",1,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД СТРОИТЕЛЬНОЙ ТЕХНИКИ""","6671072283","620026, Свердловская область, г. Екатеринбург, ул. Гоголя, д. 57, кв. 122",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ФИЛ-КОМ"" (ЛОМБАРД ФИЛ-КОМ)","5603014813","461040, Оренбургская область, г. Бузулук, ул. Рожкова, д. 41",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ФИЛ-КОМ+"" (ЛОМБАРД ФИЛ-КОМ)","5603035468","461048, Оренбургская область, г. Бузулук, ул. Шевченко, д.89, кв. 10",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ЭВЕРЕСТ"" (ЛОМБАРД ЭВЕРЕСТ)","5643020764","462114, Оренбургская область, р-н Саракташский, с. Черный отрог, ул. Первомайская, д. 25",,"Признаки нелегального кредитора",1,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-96""","6658538945","620131, Свердловская область, г. Екатеринбург, ул. Крауля, д.69, кв. 44",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-СИСТЕМА""","1645026098","423236, Республика Татарстан, Бугульминский район, г. Бугульма, ул. Мусы Джалиля, д. 27, офис 2",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАРОДНЫЙ АВТОЛОМБАРД""","6315004320","443071, Самарская область, г. Самара, проспект Волжский, д. 31/2",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГОЛИТ"" (""REGOLith"")","6321425609","445030, Самарская область, г.Тольятти, ул.Автостроителей, д.11А, офис 6, пом.НП-2","regolith.pro","Признаки ""финансовой пирамиды""",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛЮТ"" (""Ювелирный мир"")","5256186547","603101, Нижегородская область, г. Н. Новгород, ул. Краснодонцев, д. 7, пом П12; 603142, Нижегородская область, г. Нижний Новгород, ул. Маковского, д. 17;  603148, Нижегородская область, г. Нижний Новгород, ул. Чаадаева, д. 33","vk.com/club35286988","Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРЕГАТЕЛЬНЫЙ ЛОМБАРД59""","5919029661","618553, Пермский край, г. Соликамск, ул. Северная, д. 46, офис 62",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОДЕЙСТВИЕ ВРН""","4632210384","305021, Курская область, г. Курск, ул. Школьная, д.5/17, кв. 16","zaemrub.ru","Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Ф-ЛОМБАРД"" (FREZER ЧАСОВОЙ ДОМ)","7703454057","123242, г. Москва, пер. Капранова, д. 4 этаж / пом. / ком. 1/IV/1","frezerhouse.ru, frezer-house.ru, lombardfrezer.ru","Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЛИЗИНГОВЫХ РЕШЕНИЙ""","6164114030","344068, Ростовская область, г. Ростов-на-Дону, ул. Нариманова, д. 103/2","leasing61.ru","Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД ""ДОБРЫЕ ЛЮДИ""","7455037448","455019, Челябинская область, г. Магнитогорск, ул. Маяковского, д.46, кв. 15",,"Признаки нелегального кредитора",1,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД ""ЧАРОИТ""","7449032699","454071, Челябинская область, г. Челябинск, ул. Героев Танкограда, д.57, отдел 9, неж. пом. 8",,"Признаки нелегального кредитора",1,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ДРАЙВКАПИТАЛ""","3662292801","394077, Воронежская область, г. Воронеж, б-р Победы, д. 44, пом. XXI",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЗЕЛО""","7731323095","107045, г. Москва, пер. Большой Головин, д. 2, пом. XIII, ком.20","zelo-group.ru","Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ТВОРЧЕСТВО""","7104084618","300000, Тульская область, г. Тула, ул. Каминского, д. 6, офис 2, этаж 2",,"Признаки нелегального кредитора",0,
2021-08-31,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ФИНТЕХНИК""","7840095593","191023, г. Санкт-Петербург, Наб. р. Фонтанки, д. 59, лит. А, пом. 4-Н, оф. 124","fintehnikmfo.ru","Признаки нелегального кредитора",0,
2021-08-31,"ПОТРЕБИТЕЛЬСКИЙ ИНВЕСТИЦИОННЫЙ КООПЕРАТИВ ПО РАЗВИТИЮ ЭКОНОМИЧЕСКИХ И СОЦИАЛЬНЫХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""ПРОМФИНАНС""","5027292173","140002, Московская область, г.о. Люберцы, г. Люберцы, пр-кт Октябрьский, д. 18, к. 2, пом. 1, офис 2а",,"Признаки ""финансовой пирамиды""",0,
2021-08-31,"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РАЗВИТИЮ ЭКОНОМИЧЕСКИХ И СОЦИАЛЬНЫХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ «ДОМИНВЕСТ»","4329019355","610000, Кировская область, г. Киров, ул. Преображенская, д. 69, помещение 1001; 
241035, Брянская область, г. Брянск, ул. Бурова, д. 2 Б; 
299057, г. Севастополь, пр-т Октябрьской Революции, д. 57","pkdominvest.ru","Признаки ""финансовой пирамиды""",0,
2021-08-31,"Потребительский кооператив социально-экономического развития «СЕЛЬХОЗ-КАПИТАЛ»","6161093462","344023, Ростовская область, г. Ростов-на-Дону, ул. Водников, 7, этаж 3, помещ. 13; 
344113, Ростовская область, г. Ростов-на-Дону, ул. Добровольского, 15; 
344090, Ростовская область, г. Ростов-на-Дону, ул. Зорге, 15; 
344000, Ростовская область, г. Ростов-на-Дону, пр. Ворошиловский, 69-73
","pkdobrobud.ru","Признаки ""финансовой пирамиды""",0,
2021-08-31,"ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ""СЕВЕРО-ЗАПАДНОЕ ФИНАНСОВОЕ ОБЩЕСТВО""","7840089663","197022, г. Санкт-Петербург, Каменноостровский проспект, д. 43 литер А помещение 1-Н","poszfo.ru, poszfo.com","Признаки ""финансовой пирамиды""",0,
2021-08-31,"РОЙ Клуб, Roy Club",,,"roy.club, roy.cash, prizm-club.ru, royclub24.com, roy.top, glize.tech, umi-club.ru","Признаки ""финансовой пирамиды""
",0,
2021-08-31,"Ювелирный салон ""ТЕ АМО""",,"423236, Республика Татарстан, г. Бугульма, ул. Мусы Джалиля, д. 27","vk.com/teamo_gold, instagram.com/teamo_gold","Признаки нелегального кредитора",0,
2021-08-16,"Absolute Global Markets, AGMarkets",,,"agmarkets.co, agmarkets.сс","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Ai.marketing, Udmcreators LTD, Wexford Alliance Limited, ООО ""Заря""",,,"ai.marketing, my-ai-marketing.com","Признаки ""финансовой пирамиды""",0,
2021-08-16,"Aquatrade",,,"aquatrade.io, client.aquatrade.io, webtrader.aquatrade.io, aquatrade.cc, aquatrade.trade, aquatrade.group","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Avto-lombard56",,,"avto-lombard56.ru","Признаки нелегального кредитора",0,
2021-08-16,"Bex500 Global Limited, Bex500",,,"bex500.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"CityBroker, CITYBROKER",,,"city-broker.biz, citybroker.biz","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Dio Leaf, dioleaf",,,"dioleaf.com, trade.dioleaf.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"EuCap1tal, AAA Global LTD",,,"eucap1tal.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Euro1nvest",,,"euro1nvest.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Fg-ltd",,,"fg-ltd.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Fianit Finance ",,,"fia-nit.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,"Компания использует данные легального участника финансового рынка"
2021-08-16,"Finambroker, Vesta Future OU",,,"finambroker.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,"Компания использует данные легального участника финансового рынка"
2021-08-16,"Fin-Target LTD,  Fin Target LTD, World Trade Market LTD",,,"fin-target.com, my.fin-target.com, tradersroom.fin-target.com, webtrader.fin-target.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Fortune Investment Group LTD, Internet Invest LTD, United Brokers",,,"united-brokers.io, tradersroom.united-brokers.net, uni-co.io","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"GG Team",,,"gg-team.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"GlobalBit Services LTD, TerraLUNA Unity",,,"terralunaunity.com, platform.terralunaunity.com, tl-unity.com, platform.tl-unity.com, tlu-broker.com, platform.tlu-broker.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Grow-Finance, GROW-FINANCE LTD, GrowFinance",,,"grow-finance.com, grow-finance.ltd
","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Ilar Investing, Ilar Investing LTD, Ilar Consulting Limited",,,"ilarinvesting.com, tradersroom.ilarinvesting.com, webtrader.ilarinvesting.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Inter Lines Ltd, Inter Lines",,,"inter-lines.com, inter-lines.org","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"InvestmentBay, InvestmentBay LTD",,,"investmentbay.com, tradersroom.investmentbay.com, webtrader.investment.com, investmentbay.org, tradersroom.investmentbay.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"JustTradingCompany, JustTradingCompany Ltd",,,"justtradecompany.com, just2tradecompany.com, just2trade.co, justtotradecompany.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Legal",,,"lega-l.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"LEGION",,,"legi-on.com","Признаки ""финансовой пирамиды""",0,
2021-08-16,"LimeFX, Rest Soft Ltd, TLM Limited",,,"limefx.com, light-trading.limefx.com, limefx.org","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"MTrade-X, Vesta Future OU ",,,"mtrade-x.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"NeoTrade, Donnybrook Consulting Ltd",,,"neotrade.pro, neotrade.io, neotrade.live, webtrader.neotrade.live","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Olympcapitalgroup,Olymp Capital Group",,,"olympcapitalgroup.com","Признаки ""финансовой пирамиды""",0,
2021-08-16,"Park Street Advisors Ltd, Park Street Advisors Limited",,,"parkstreet-advisors.com, secure.parkstreet-advisors.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"phoenix-invest",,,"phoenix-invest.club, phoenix-investclub.ru, phoenix-invest.trade, fenix-invest.su, phoenixinvest-club.ru, phoenixinvest.ltd","Признаки ""финансовой пирамиды""",0,
2021-08-16,"Pro Investing  LTD, Provinvest LTD, Provinvest",,,"provinvest.org, trade.provinvest.org, provinvest24.com, provinvest.net","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"ReliabilityStabilityIncome OU, RSI, rsi capital, RSI Capital, Инвестиционный фонд rsi capital",,,"rsi.capital, lk.rsi.capital","Признаки ""финансовой пирамиды""",0,
2021-08-16,"RiseGlobal Limited, Riseglobal",,,"riseglobal.us, client.riseglobal.us","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"snp-500",,,"snp-500.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"SpaceFX, PSC Technology Development Consulting S.R.L, EXYNESS",,,"spacefx.org, exyness.com, trade.exyness.com, spacefx.pro","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"STT-EC",,,"stt-ec.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Superbinary, Maxi Platinum Limited ",,,"www.superbinary.com, ru.superbinary.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"TakeProfit, Vesta Future OU ",,,"takeprofit.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"TauruzFX",,,"tauruzfx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"TopTradeGroup, Widdershins Group LTD",,,"toptrade.group, webtrader.toptrade.trade, toptrade.one, client.toptrade.trade, toptrade.cc","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"T-Rea",,,"t-rea.com, trade.t-rea.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"АВТОЛОМБАРД НИКОЛЕВА",,"344019, Ростовская область, г. Ростов-на-Дону, пр-т Театральный, д. 43/70","avtolombard-nikoleva.ru","Признаки нелегального кредитора",0,
2021-08-16,"Автосалон Вираж 62, Вираж 62",,"390039, Рязанская область, г. Рязань, ул. Бирюзова, д. 15/1.",,"Признаки нелегального кредитора",0,
2021-08-16,"Больше, чем Ломбард. СКУПКА ЗОЛОТА",," 601144, Владимирская область, г. Петушки, ул. Вокзальная, д. 87",,"Признаки нелегального кредитора",0,
2021-08-16,"Комиссионный магазин",,"667000, Республика Тыва, г. Кызыл, ул. Тувинских Добровольцев, д.  22,  3 этаж",,"Признаки нелегального кредитора",0,
2021-08-16,"Комиссионный магазин",,"650060, Омская область, г. Омск, ул. Ярослава Гашека, д. 5, 1 этаж",,"Признаки нелегального кредитора",0,
2021-08-16,"Комиссионный магазин ""Бюро финансовых решений""",,"650060, Кемеровская область, г. Кемерово, бульвар Строителей, д. 22, 1 этаж","займптс42.рф","Признаки нелегального кредитора",0,
2021-08-16,"Комиссионный магазин ""Красная цена""",,"160019, Вологодская область, г. Вологда, ул. Чернышевского, д. 54",,"Признаки нелегального кредитора",0,
2021-08-16,"Комиссионный магазин ""Скупка Бумер""",,"403874, Волгоградская область, г. Камышин, ул. Мира, д. 12",,"Признаки нелегального кредитора",0,
2021-08-16,"Комиссионный магазин Купи-Продай",,"153002, Ивановская область, г. Иваново, ул. Карла Маркса, д. 1",,"Признаки нелегального кредитора",0,
2021-08-16,"Комиссионный магазин/ломбард ""Карат24""",,"354000, Краснодарский край, г. Сочи, ул. Горького, д. 53","Карат24.рф","Признаки нелегального кредитора",0,
2021-08-16,"ЛенОблСоюзКредит, ЛОСК",,"191036, г. Санкт-Петербург, Лиговский пр-т, д. 10/118, офисы 4131, 4132","loskkredit.ru","Признаки нелегального кредитора",0,
2021-08-16,"Ломбард и К",,"617830, Пермский край, Чернушинский р-н, г. Чернушка, ул. Юбилейная, д. 36",,"Признаки нелегального кредитора",0,
2021-08-16,"Ломбард Скупка Рублевка; Сторублевка СР",,"111396, г. Москва, Зеленый проспект, д. 62, корп. 1; 
129090, г. Москва, ул. Каланчевская, д. 47; 
142502, Московская область, г. Павловский Посад, ул. Большая Покровская, д. 40А","100rublevka.ru","Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ  ОТВЕТСТВЕННОСТЬЮ ""АВТОЛОМБАРД ""МИЛЛЕНИУМ""","6165202000","344018, Ростовская область, г. Ростов-на-Дону, ул. Текучева, д. 246, ком. 12","zaim-don.ru","Признаки нелегального кредитора",1,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОКАПИТАЛ""","7719845546","107023, г. Москва, пер. Мажоров, д. 14 стр. 21","avto-kapital.ru, 24.avto-kapital.ru","Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТО-ЛОМБАРД ГАРАНТ НАХОДКА""","2508124916","692914, Приморский край, г. Находка, ул. Верховского, д. 16А",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗУРИТ""","2311114075","350016, Краснодарский край, г. Краснодар, ул. Им. Карякина, д. 18, офис 258",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ЛОМБАРД""","5405021167","630133, Новосибирская область, г. Новосибирск, ул. Лазурная, д. 4/1, место 1; 
630009, Новосибирская область, г. Новосибирск, ул. Кирова, д. 108",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕАНТ"" (Ломбард ""ДЕАНТ"")","0326022240","670000, Республика Бурятия, г. Улан-Удэ, ул. Балтахинова, д. 9; 
670002, Республика Бурятия, г. Улан-Удэ, ул. Октябрьская, д. 12 корп. А",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТАНДАРТ+"" (""Евро ломбард"")","2209049065","658213, Алтайский край, г. Рубцовск, ул. Дзержинского, д. 17, офис / этаж 48/1",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД 777""","1435345796","677000, Республика Саха (Якутия), г. Якутск, ул. Богатырева, д. 11, кор. 1, кв. 339",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГНИТ"" (Ломбард ""Магнит"")","7536173706","672020, Забайкальский край, г. Чита, микрорайон 1-Й, д. 32",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАЙС ЛИЗИНГ"" (Европейский экспресс кредит)","7720648503","111024, г. Москва, ул. Энтузиастов 1-я, д. 15 стр. 1, этаж 5, кабинет 3/2; 
443041, г. Самара, ул. Льва Толстого, д. 123, этаж 3, офис Б-313",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВОЯК"" (Комиссионный магазин ""Свояк"")","7017342478","634062, Томская область, г. Томск, ул. Беринга, д. 2А",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТОЛИЦА ИНВЕСТИЦИЙ""","9703014892","123317, г. Москва, Пресненская набережная, д. 12, этаж 4, пом. 9.1, офис 4403","столица-инвестиций.рф","Признаки ""финансовой пирамиды""",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАВОРИТ ПЛЮС""","3123373671","308009, Белгородская область, г. Белгород, ул. Дзгоева, дом 4А, этаж 1, пом. 50","favorit-plus.com","Признаки ""финансовой пирамиды""",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ “КОМЕТА” (“Русское золото”, “Ломбард 24”)","5259150764","603148, Нижегородская область, г. Нижний Новгород, ул. Чаадаева, д. 33, пом. П3, оф. 1; 
603128, Нижегородская область, г. Нижний Новгород, пр. Кораблестроителей, д. 22/1; 
607220, Нижегородская область, г. Арзамас, пр. Ленина, д. 188; 
603076, Нижегородская область, г. Нижний Новгород, пр. Ленина, д. 32А","vk.com/club35286988","Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АЛТЫН-СИМ""","2912006451","164010, Архангельская область, Коношский район, рабочий поселок Коноша, ул. Театральная, д. 36; 
165150, Архангельская область, г. Вельск, ул. Комсомольская, д. 11, кв./офис 17","алтын-сим.рф","Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АРТ ФИНАНС""","1402017214","678900, Республика Саха (Якутия), У. Алданский, г. Алдан, ул. Дзержинского, д. 19",,"Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КОЛА-ПРО"" (""ДеньгиYESть"")","5190055124","183038, Мурманская область, г. Мурманск, ул. Папанина, д. 7","dengiest51.wixsite.com/zaim","Признаки нелегального кредитора",0,
2021-08-16,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ФРЕШ КАПИТАЛ"" (FRESH CAPITAL)","9705131827","115280, г. Москва, ул. Ленинская Слобода, д. 26, этаж 3, пом. IV, ком.7","freshcapital.ru, freshcap.ru","Признаки нелегального кредитора",0,
2021-08-16,"ПРОИЗВОДСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""СИБИРЬ""","4217198353","654041, Кемеровская область - Кузбасс, г. Новокузнецк, Центральный район, проспект Бардина, д. 7","sibirfinans.ru","Признаки ""финансовой пирамиды""",0,
2021-08-16,"Тetra Invest, Seabreeze Partners Ltd ",,,"tetra-invest.co, tetra-invest.cc, tetra-invest.world","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-16,"Торговая точка ""Xeon17""",,"667000, Республика Тыва, г. Кызыл, ул. Ооржака Лопсанчапа, д. 11А, кв./офис  3",,"Признаки нелегального кредитора",0,
2021-08-16,"Торговая точка ""ВАША СКУПКА""",,"400059, Волгоградская область, г. Волгоград, ул. 64-й Армии, д. 131","instagram.com/skupka_volgograd","Признаки нелегального кредитора",0,
2021-08-16,"Фото Ювелир",,"172730, Тверская область, г. Осташков, пр-т Калинина, д. 5",,"Признаки нелегального кредитора",0,
2021-08-02,"""Золотой телец""",,"644021, Омская область, г. Омск, ул. Транспортная 1-я, д. 7",,"Признаки нелегального кредитора",0,
2021-08-02,"Aiia International OU (Maxima Trade)",,"Harju maakond, Tallinn, Lasnamae linnaosa, Vaike-Paala tn 2, 11415","maximatrade.net","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Askbitsoft, ASK Bitsoft",,,"askbitsoft.com, trade.askbitsoft.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Avalon, Avalonsec Ltd",,,"avalonsec.com, platform.avalonsec.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Avtolombarda, Zalog-avtolombard",,,"avtolombarda.net, zalog-avtolombard.ru","Признаки нелегального кредитора",0,
2021-08-02,"Eletrader, ELE-Trader",,,"eletrader.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Ex-company, ExPedia",,,"ex-company.ru","Признаки ""финансовой пирамиды""",0,
2021-08-02,"ForexInvest",,,"forexinvest.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Game Invest",,,"gameinvest.space, game-invest.space","Признаки ""финансовой пирамиды""",0,
2021-08-02,"Ginvesto, Ginvest ltd",,,"ginvestco.com, ginvestco.org, tradersroom.ginvestco.org, my.ginvestco.org","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Global-logic.co, global-logic.org, global-logic.pro, global-logic.club",,,"global-logic.co, global-logic.org, global-logic.pro, global-logic.club","Признаки ""финансовой пирамиды""",0,
2021-08-02,"Gxsays, GX Says",,,"gxsays.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"HE-LLC",,,"he-llc.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"LevelTrade",,,"leveltrade.io, leveltrade.co, leveltrade.pro, webtrader.leveltrade.pro","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"MarsInvest, Mars LTD ",,,"mars-invest.com, mars-investltd.com, invest-mars.com, marshtrade.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"MASSMINING, Massmining Limited",,"423812, Республика Татарстан, г. Набережные Челны, пр-кт Мира, д. 11а; 
350063, Краснодарский край, г. Краснодар, ул. Пушкина, д. 2, офис 12; 
426011, Удмуртская Республика, г. Ижевск, ул. Пушкинская, д. 284 А, офис 705","massmining.pro","Признаки ""финансовой пирамиды""",0,
2021-08-02,"Max-capital, Max|Capital",,,"max-capital.pro","Признаки ""финансовой пирамиды""",0,
2021-08-02,"OP-Trust",,,"op-trust.com, trade.op-trust.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"OTB-trading",,,"otb-trading.com, portal.otb-trading.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Prend, PowerTrend, Mirach LTD, Prometheus LTD",,,"prtrend.org, prtrend.cc","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"PULSE TRADE",,,"pulse-trade.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"Qunea",,,"qunea.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-08-02,"RusCoin",,,"ruscoin.io","Признаки ""финансовой пирамиды""",0,
